name,is_active,latitude,longitude
Центральная районная больница,True,51.0805684,56.218171
Центральная районная больница,True,51.0801644,56.2177697
Стадион,True,51.0634702,56.2290781
Стадион,True,51.0629659,56.2287702
Женский монастырь,True,51.0547236,56.2268348
Женский монастырь,True,51.0557841,56.2269663
Завод,True,51.0677921,56.2300003
Переезд,True,51.0438105,56.2372939
Тойменка,True,51.0512745,56.2359177
Налоговая,True,51.0618056,56.2344937
Завод,True,51.0691929,56.2314297
Техникум,True,51.0746683,56.2246372
Вокзал,True,51.0339024,56.2291396
Школа №5,True,51.0379769,56.2314639
Рембыттехника,True,51.0850739,56.2194798
Музей,True,51.0875601,56.2256921
Улица Пароходная,True,51.0846136,56.2241931
"Винзавод "Слава"",True,51.0338955,56.2114984
"Винзавод "Слава"",True,51.0348114,56.2118212
Сельхозтехника,True,51.0363154,56.2191342
По требованию,True,51.043072,56.2214706
По требованию,True,51.0418894,56.2209321
Почта №5,True,51.0490564,56.2235645
Школа искусств,True,51.0761039,56.2321811
Школа искусств,True,51.07732,56.2326814
Набережная,True,51.0854599,56.2328613
Набережная,True,51.0870464,56.2329884
Завод,True,51.0677155,56.2319183
Налоговая,True,51.0612662,56.2345467
Тойменка,True,51.0499265,56.2360596
Переезд,True,51.0437778,56.2369951
Школа №5,True,51.0380621,56.2312752
Мясокомбинат,True,51.0309187,56.2220341
Сельхозтехника,True,51.0354658,56.2191452
Юбилейный,True,51.0716133,56.2279079
Краснознамённая улица,True,51.0642535,56.2255443
Библиотека,True,51.071459,56.2272463
Библиотека,True,51.0707517,56.2271978
Техникум,True,51.074603,56.2243034
Ленинский микрорайон,True,51.0794715,56.2316391
Гимназия,True,51.0779188,56.2201388
Почта №5,True,51.0484095,56.2234261
Музей,True,51.0878366,56.2265483
Центральная районная больница,True,51.0811579,56.2184161
Гимназия,True,51.0785991,56.2196808
Улица Пароходная,True,51.084803,56.2244147
улица Островского,True,51.0745651,56.2168322
Западный,True,51.068003,56.2158031
ул. Ваганова,True,51.0660061,56.2179672
ГИБДД,True,51.0801347,56.2280534
Мясокомбинат,True,51.0326797,56.2225485
Районный суд,True,51.0876542,56.2282908
Рембыттехника,True,51.0848433,56.2198523
Краснознамённая улица,True,51.0647897,56.2255435
ул. Карла Маркса,True,51.0659981,56.2198419
Центральная районная больница,True,51.0796452,56.2179702
Центральный микрорайон,True,51.0758253,56.2211071
Кооператив Южный,True,51.0808889,56.2065638
Кооператив Южный,True,51.080622,56.2067159
Автостанция,True,51.07941,56.2248016
ГИБДД,True,51.0798521,56.2278871
Районный суд,True,51.0879255,56.2285771
Ленинский микрорайон,True,51.0798339,56.2311752
Автостанция,True,51.0801692,56.2256864
Автостанция,True,51.0788677,56.2243724
Юбилейный,True,51.0715784,56.2284466
