route_name,departure_time,service_days,is_active
1 до ЦРБ,05:55:00,31,True
1 до ЦРБ,06:45:00,31,True
1,07:20:00,31,True
1,08:15:00,31,True
1,10:05:00,31,True
1,13:30:00,31,True
1,15:40:00,31,True
1 до ЦРБ,17:05:00,31,True
1,18:00:00,31,True
2,05:20:00,31,True
2,08:40:00,31,True
2,10:50:00,31,True
2,14:55:00,31,True
4,09:20:00,31,True
4 до ЦРБ,11:30:00,31,True
4 от ЦРБ,13:15:00,31,True
4,14:20:00,31,True
5 от ЦРБ,07:05:00,31,True
5,16:20:00,31,True
6 от ЦРБ,09:10:00,31,True
6,09:40:00,31,True
6,10:20:00,31,True
6,11:00:00,31,True
6 до ЦРБ,11:40:00,31,True
3,05:40:00,31,True
3 до Кооператива,06:05:00,31,True
3,06:35:00,31,True
3 через ГИБДД до библиотеки,06:50:00,31,True
3 от ЦРБ до СХТ через ул. Cоветскую,07:23:00,31,True
3,07:45:00,31,True
3 до Кооператива,08:05:00,31,True
3,08:30:00,31,True
3,08:55:00,31,True
3,09:15:00,31,True
3,09:35:00,31,True
3,10:00:00,31,True
3 до ЦРБ,10:20:00,31,True
3,10:45:00,31,True
3,11:30:00,31,True
3 до Кооператива,12:15:00,31,True
3,13:05:00,31,True
3,13:50:00,31,True
3,14:05:00,31,True
3 от ЦРБ,14:45:00,31,True
3,15:00:00,31,True
3,15:20:00,31,True
3,15:45:00,31,True
3 через ГИБДД,16:05:00,31,True
3,16:30:00,31,True
3,16:50:00,31,True
3,17:15:00,31,True
3,17:40:00,31,True
3 до Кооператива,18:50:00,31,True
3 до ЦРБ,19:45:00,31,True
1,07:40:00,96,True
1 до ЦРБ,10:10:00,96,True
1,14:40:00,96,True
1,18:00:00,96,True
2,07:00:00,96,True
2,15:20:00,96,True
4,09:15:00,96,True
4,10:40:00,96,True
4,12:20:00,96,True
6,06:20:00,96,True
6,08:20:00,96,True
6,11:30:00,96,True
6 до ЦРБ,13:05:00,96,True
6 до ЦРБ,13:15:00,96,True
6,16:00:00,96,True
6,16:40:00,96,True
6,17:20:00,96,True
6 до ЦРБ,18:35:00,96,True
3 до ЦРБ,05:30:00,32,True
3,06:40:00,96,True
3,07:15:00,96,True
3,08:05:00,96,True
3,08:55:00,96,True
3 от ЦРБ,09:50:00,96,True
3 до ЦРБ,09:35:00,96,True
3 до ЦРБ,10:15:00,96,True
3 от ЦРБ,10:30:00,96,True
3 от ЦРБ,11:35:00,96,True
3,12:05:00,96,True
3 от ЦРБ,12:55:00,96,True
3,12:55:00,96,True
3,13:45:00,96,True
3,14:30:00,96,True
3,15:10:00,96,True
3,15:55:00,96,True
3,16:30:00,96,True
3,17:05:00,96,True
3,17:50:00,96,True
3,18:45:00,96,True
3 до ЦРБ,19:35:00,96,True
