route_name,stop_code,stop_order
1,VOKZAL2,1
1,SHKOLA5B,2
1,PEREEZB,3
1,TOYMENB,4
1,NALOG1B,5
1,ZAVOD1C,6
1,SHKISKUA,7
1,NABERA1,8
1,RAISUDA,9
1,MUZEY1A,10
1,ULPAROH,11
1,REMBYTB,12
1,TSRB01C,13
1,GIMNAZB,14
1,TEHNIKM,15
1,YUBIL1B,16
1,ZAVOD1B,17
1,NALOG1A,18
1,TOYMENA,19
1,PEREEZD,20
1,SHKOLA5A,21
1,VOKZAL1,22
1 до ЦРБ,VOKZAL2,1
1 до ЦРБ,SHKOLA5B,2
1 до ЦРБ,PEREEZB,3
1 до ЦРБ,TOYMENB,4
1 до ЦРБ,NALOG1B,5
1 до ЦРБ,ZAVOD1C,6
1 до ЦРБ,SHKISKUA,7
1 до ЦРБ,NABERA1,8
1 до ЦРБ,RAISUDA,9
1 до ЦРБ,MUZEY1A,10
1 до ЦРБ,ULPAROH,11
1 до ЦРБ,REMBYTB,12
1 до ЦРБ,TSRB01C,13
2,VOKZAL2,1
2,SHKOLA5B,2
2,PEREEZB,3
2,TOYMENB,4
2,NALOG1B,5
2,ZAVOD1C,6
2,YUBIL1A,8
2,TEHNIKB,9
2,GIMNAZA,10
2,TSRB01A,11
2,REMBYTA,12
2,ULPAROB,13
2,MUZEY1B,14
2,RAISUDB,15
2,NABERA2,16
2,SHKISKUB,17
2,ZAVOD1B,18
2,NALOG1A,19
2,TOYMENA,20
2,PEREEZD,21
2,SHKOLA5A,22
2,VOKZAL1,23
3,PEREEZD,1
3,SHKOLA5A,2
3,VOKZAL2,3
3,MYASOKA,4
3,SELHTEH,5
3,POTREBB,6
3,POCHTA5,7
3,ZHENMONB,8
3,STADIONB,9
3,ZAVOD1A,10
3,YUBIL1A,11
3,TEHNIKB,12
3,GIMNAZA,13
3,TSRB01A,14
3,AVTOSТА,15
3,BIBLIOT,16
3,STADIONA,17
3,ZHENMONA,18
3,POCHTA5B,19
3,POTREBA,20
3,SELHTEB,21
3,MYASOKB,22
3,VOKZAL1,23
3,SHKOLA5B,24
3,PEREEZB,25
3 до ЦРБ,PEREEZD,1
3 до ЦРБ,SHKOLA5A,2
3 до ЦРБ,VOKZAL2,3
3 до ЦРБ,MYASOKA,4
3 до ЦРБ,SELHTEH,5
3 до ЦРБ,POTREBB,6
3 до ЦРБ,POCHTA5,7
3 до ЦРБ,ZHENMONB,8
3 до ЦРБ,STADIONB,9
3 до ЦРБ,ZAVOD1A,10
3 до ЦРБ,YUBIL1A,11
3 до ЦРБ,TEHNIKB,12
3 до ЦРБ,GIMNAZA,13
3 до ЦРБ,TSRB01A,14
3 от ЦРБ,TSRB01A,1
3 от ЦРБ,AVTOSТА,2
3 от ЦРБ,BIBLIOT,3
3 от ЦРБ,STADIONA,4
3 от ЦРБ,ZHENMONA,5
3 от ЦРБ,POCHTA5B,6
3 от ЦРБ,POTREBA,7
3 от ЦРБ,SELHTEB,8
3 от ЦРБ,MYASOKB,9
3 от ЦРБ,VOKZAL1,10
3 от ЦРБ,SHKOLA5B,11
3 от ЦРБ,PEREEZB,12
3 через ГИБДД,PEREEZD,1
3 через ГИБДД,SHKOLA5A,2
3 через ГИБДД,VOKZAL2,3
3 через ГИБДД,MYASOKA,4
3 через ГИБДД,SELHTEH,5
3 через ГИБДД,POTREBB,6
3 через ГИБДД,POCHTA5,7
3 через ГИБДД,ZHENMONB,8
3 через ГИБДД,STADIONB,9
3 через ГИБДД,ZAVOD1A,10
3 через ГИБДД,YUBIL1A,11
3 через ГИБДД,TEHNIKB,12
3 через ГИБДД,GIMNAZA,13
3 через ГИБДД,TSRB01A,14
3 через ГИБДД,AVTOSTB,15
3 через ГИБДД,GIBDD1A,16
3 через ГИБДД,LENINKB,17
3 через ГИБДД,SHKISKUB,18
3 через ГИБДД,STADIONA,19
3 через ГИБДД,ZHENMONA,20
3 через ГИБДД,POCHTA5B,21
3 через ГИБДД,POTREBA,22
3 через ГИБДД,SELHTEB,23
3 через ГИБДД,MYASOKB,24
3 через ГИБДД,VOKZAL1,25
3 через ГИБДД,SHKOLA5B,26
3 через ГИБДД,PEREEZB,27
3 до Кооператива,PEREEZD,1
3 до Кооператива,SHKOLA5A,2
3 до Кооператива,VOKZAL2,3
3 до Кооператива,MYASOKA,4
3 до Кооператива,SELHTEH,5
3 до Кооператива,POTREBB,6
3 до Кооператива,POCHTA5,7
3 до Кооператива,ZHENMONB,8
3 до Кооператива,STADIONB,9
3 до Кооператива,ZAVOD1A,10
3 до Кооператива,YUBIL1A,11
3 до Кооператива,TEHNIKB,12
3 до Кооператива,GIMNAZA,13
3 до Кооператива,TSRB01A,14
3 до Кооператива,AVTOSТА,15
3 до Кооператива,BIBLIOT,16
3 до Кооператива,STADIONA,17
3 до Кооператива,ZHENMONA,18
3 до Кооператива,POCHTA5B,19
3 до Кооператива,POTREBA,20
3 до Кооператива,SELHTEB,21
3 до Кооператива,MYASOKB,22
3 до Кооператива,VOKZAL1,23
3 до Кооператива,SHKOLA5B,24
3 до Кооператива,PEREEZB,25
3 до Кооператива,KOOPERA,26
3 от ЦРБ до СХТ через ул. Cоветскую,TSRB01A,14
3 от ЦРБ до СХТ через ул. Cоветскую,REMBYTA,15
3 от ЦРБ до СХТ через ул. Cоветскую,ULPAROB,16
3 от ЦРБ до СХТ через ул. Cоветскую,MUZEY1B,17
3 от ЦРБ до СХТ через ул. Cоветскую,RAISUDB,18
3 от ЦРБ до СХТ через ул. Cоветскую,NABERA2,19
3 от ЦРБ до СХТ через ул. Cоветскую,SHKISKUB,20
3 от ЦРБ до СХТ через ул. Cоветскую,STADIONA,21
3 от ЦРБ до СХТ через ул. Cоветскую,ZHENMONA,22
3 от ЦРБ до СХТ через ул. Cоветскую,POCHTA5B,23
3 от ЦРБ до СХТ через ул. Cоветскую,POTREBA,24
3 от ЦРБ до СХТ через ул. Cоветскую,SELHTEB,25
3 через ГИБДД до библиотеки,PEREEZD,1
3 через ГИБДД до библиотеки,SHKOLA5A,2
3 через ГИБДД до библиотеки,VOKZAL2,3
3 через ГИБДД до библиотеки,MYASOKA,4
3 через ГИБДД до библиотеки,SELHTEH,5
3 через ГИБДД до библиотеки,POTREBB,6
3 через ГИБДД до библиотеки,POCHTA5,7
3 через ГИБДД до библиотеки,ZHENMONB,8
3 через ГИБДД до библиотеки,STADIONB,9
3 через ГИБДД до библиотеки,ZAVOD1A,10
3 через ГИБДД до библиотеки,YUBIL1A,11
3 через ГИБДД до библиотеки,TEHNIKB,12
